QLA,MPHASE,MPLAN,MPHSTAT,BENEFIT_TYPE,BENEFIT_SEQ,MODE_PREMIUM,ANN_PREM_PER_UNIT,MPREM_CURRENT
010149295C,1,221END,44,BA          ,1,0.0,0.0,0.0
010150031C,1,221END,44,BA          ,1,0.0,0.0,0.0
010150910C,3,221EPA,56,PU          ,3,0.0,0.0,0.0
010165095C,1,221END,45,BA          ,1,0.0,0.0,0.0
010171334C,1,222END,41,BA          ,1,0.0,0.0,0.0
010185592C,1,222END,41,BA          ,1,0.0,0.0,0.0
010235370C,2,280EPA,56,PU          ,2,0.0,0.0,0.0
010264207C,2,280EPA,22,PU          ,2,0.0,0.0,0.0
010300689C,1,1960PO,44,BA          ,1,0.0,0.0,0.0
010310404C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010331768C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010335095C,3,961 PUA,56,PU          ,3,0.0,0.0,0.0
010350577C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010360289C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010360290C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010363098C,5,1960PA,56,PU          ,5,0.0,0.0,0.0
010367131C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010367132C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010367133C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010367438C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010367438C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010367704C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010367705C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010368703C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010371171C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010371356C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010373918C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010373918C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010374779C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010374779C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010374837C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010374838C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010376522C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010376529C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010376540C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010376540C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010377918C,1,17085M,45,BA          ,1,0.0,0.0,0.0
010377918C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010378485C,1,196065,44,BA          ,1,0.0,0.0,0.0
010378485C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010378710C,1,196065,41,BA          ,1,0.0,0.0,0.0
010378710C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010378829C,1,196065,41,BA          ,1,0.0,0.0,0.0
010378829C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010379405C,6,1960PA,56,PU          ,6,0.0,0.0,0.0
010379477C,1,1960PO,45,BA          ,1,0.0,0.0,0.0
010379478C,1,1960PO,45,BA          ,1,0.0,0.0,0.0
010380049C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010380550C,1,196065,41,BA          ,1,0.0,0.0,0.0
010380550C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010380625C,1,196065,44,BA          ,1,0.0,0.0,0.0
010380627C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010381516C,1,170858,45,BA          ,1,0.0,0.0,0.0
010381745C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010382520C,1,196065,41,BA          ,1,0.0,0.0,0.0
010382520C,3,1960PA,56,PU          ,3,0.0,0.0,0.0
010382931C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010385491C,1,170858,41,BA          ,1,0.0,0.0,0.0
010385491C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010385636C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010388767C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010389651C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010389651C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010389802C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010390061C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010390251C,1,196065,44,BA          ,1,10.0,0.0,10.0
010391004C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010391228C,2,970 PA,56,PU          ,2,0.0,0.0,0.0
010391355C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010391359C,2,280EPA,56,PU          ,2,0.0,0.0,0.0
010391411C,1,170858,41,BA          ,1,0.0,0.0,0.0
010391411C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010391422C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010391582C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010391582C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010391840C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010391841C,1,170858,44,BA          ,1,0.0,0.0,0.0
010391876C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010391878C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010391895C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010392117C,1,170858,41,BA          ,1,0.0,0.0,0.0
010392117C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010392138C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010392138C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010392493C,1,170858,41,BA          ,1,0.0,0.0,0.0
010392493C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010392763C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010392763C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010392763C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010392930C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010393142C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010393143C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010393158C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010393181C,1,170858,41,BA          ,1,0.0,0.0,0.0
010393181C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010393401C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010393899C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010393931C,1,170858,45,BA          ,1,0.0,0.0,0.0
010393931C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010394249C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
